student_id,course_id,course_name
D0689799,1289,微積分(二)實習
D0689799,1284,班級活動
D0689799,1291,線性代數
D0689799,1292,邏輯設計
D000689816,2996,劇場服裝設計及製作
D000689816,2189,科技應用與金融服務
D000689816,1332,計算機演算法
D000689816,1331,計算機結構學
D0689911,1347,文獻研討(二)
D0689911,1348,資訊專題研討(二)
D0689911,1346,文獻研討(二)
D0689912,1294,班級活動
D0689912,1299,微積分(二)實習
D0689912,1298,普通物理-電、磁、光實驗
D0689912,1296,程式設計(III)
D0689912,1300,微積分(二)
D0689912,1302,邏輯設計
D0689912,1303,邏輯設計實習
D0689912,1297,程式設計(IV)
D0689912,1301,線性代數
D0689913,2157,組織行為
D0689913,2160,管理科學
D0689913,2942,音樂、語言與大腦
D0689913,2961,住宅問題研究
D0689913,2158,統計學(二)
D0689913,2879,倫理價值與生命哲學
D0689913,2179,服務科學與創新
D0689913,2156,商事法
D0689913,2159,統計學(二)實習
D0689913,3007,科技與藝術
D0689930,2162,休閒事業管理
D0689930,2182,財務管理個案研究
D0689930,2994,探討在台日商管理之文化差異問題
D0689930,2911,電影與性別
D0689930,3816,Android Apps創意程式設計
D0689939,2159,統計學(二)實習
D0689939,2156,商事法
D0689939,2158,統計學(二)
D0689939,1352,計算機視覺
D0689939,2160,管理科學
D0689939,3012,衣藝美學與科技時尚
D0689939,2162,休閒事業管理
D0689939,2897,音樂與人生
D0689939,2157,組織行為
D0689943,2160,管理科學
D0689943,2942,音樂、語言與大腦
D0689943,2963,服務學習專題
D0689943,2157,組織行為
D0689943,2957,大陸問題研究
D0689943,2164,企業電子化
D0689943,2159,統計學(二)實習
D0689943,2980,從空間看世界
D0689943,2158,統計學(二)
D0689943,2156,商事法
D0689968,2970,時間管理專題
D0689968,2158,統計學(二)
D0689968,3811,讀劇表演
D0689968,2936,化粧品科學與生活時尚
D0689968,2160,管理科學
D0689968,3893,與產業接軌─共通核心職能培育
D0689968,2159,統計學(二)實習
D0689968,3019,越南地理與文化
D0689968,2157,組織行為
D0689968,2156,商事法
D0689983,3828,Android Apps創意程式設計
D0689983,2895,音樂與人生
D0689983,1354,無線隨意與感測網路技術與應用
D0689983,3001,事業創新
D0689983,1311,物件導向設計
D0690022,2143,會計學(二)實習
D0690022,2142,會計學(二)
D0690022,2145,經濟學(二)實習
D0690022,2144,經濟學(二)
D0690022,2146,管理學
D0690022,3892,打造自我品牌─職能加值課程
D0690022,2147,資訊網路
D0690022,2899,當代文學閱讀與寫作
D0690022,2140,班級活動
D0690022,2986,藝術、心靈與創造力
D0690022,3767,全民國防教育軍事訓練(二)
D0690026,2871,詩詞欣賞
D0690026,2961,住宅問題研究
D0690026,1322,物件導向設計
D0690026,2178,企業資源規劃實務(二)
D0690026,3034,智慧財產之保護與實務
D0690043,3048,彩排與公演
D0690043,3019,越南地理與文化
D0690043,1326,物件導向設計
D0690043,2935,醫學與人生
D0690043,2883,文學、電影DIY
D0690108,2950,智慧財產之保護與實務
D0690108,2168,企業倫理與社會責任
D0690108,3016,應用文
D0690108,2170,國際企業管理
D0690108,1354,無線隨意與感測網路技術與應用
D0690108,2965,社會形象創造專題
D0690108,2876,日本歷史與文化
D0690108,2171,管理資訊系統
D0690125,1296,程式設計(III)
D0690125,1301,線性代數
